Exception,Description,Troubleshooting
SyntaxError,"Python code is written incorrectly and cannot run.","Carefully read the line number shown in the error message and inspect the line above it as well. Check for missing colons, unmatched parentheses, quotation marks, or misspelled keywords. Most syntax errors are caused by typing mistakes or incomplete statements."
IndentationError,"Indentation levels are inconsistent or missing.","Ensure the editor is consistently using tab characters for indentation and avoid mixing tabs with spaces. Check that all code blocks inside functions, loops, conditionals, and classes are properly indented one tab level deeper than the parent statement."
NameError,"A variable or function name does not exist.","Verify that all variable and function names are spelled correctly and created before they are used. Make sure any required imports are included and that the variable exists within the current scope."
TypeError,"An operation or function is used with an inappropriate data type.","Check the data types of variables using type() and confirm that operations are compatible. Convert values when necessary and ensure functions receive the correct number and type of arguments."
ValueError,"A function receives the correct data type but an invalid value.","Validate user input and confirm values fall within acceptable ranges before processing them. This error commonly occurs during conversions such as attempting to turn non-numeric text into integers."
IndexError,"A list or sequence index is outside the valid range.","Verify the size of lists using len() before accessing positions and ensure loops do not exceed valid index ranges. Using safe iteration methods like for-each loops can help prevent this issue."
KeyError,"A dictionary key does not exist.","Check dictionary keys for spelling mistakes and verify the key exists before accessing it. Using the get() method can safely handle missing keys without crashing the program."
AttributeError,"An object does not contain the requested attribute or method.","Confirm the object type is correct and that the method or property name is spelled properly. Using dir() can help inspect available attributes and methods on an object."
ImportError,"Python cannot import the requested module or object.","Ensure the module is installed correctly and verify the import statement spelling. Problems may also occur if the wrong Python environment or virtual environment is active."
ModuleNotFoundError,"Python cannot locate the specified module.","Install the missing package using pip and confirm the interpreter or virtual environment being used matches the one where the package was installed."
ZeroDivisionError,"A division or modulo operation attempted to divide by zero.","Check calculations before division occurs and validate user input to ensure denominators are never zero. Adding conditional checks before mathematical operations can prevent this error."
FileNotFoundError,"The specified file or directory does not exist.","Verify the file name, extension, and path are correct. Using absolute paths and confirming the file exists in the expected location can help identify the issue."
PermissionError,"The program does not have permission to access a resource.","Check file or folder permissions and ensure the file is not locked by another application. Running the program with elevated privileges may be necessary in restricted environments."
EOFError,"Input operations reached the end of input unexpectedly.","Ensure the program is receiving valid input from the expected source. This often occurs when input streams are empty or prematurely closed."
RuntimeError,"A general runtime problem occurred during execution.","Review the overall program logic and identify areas where program state may become invalid. Debugging step-by-step and inspecting variables during execution can help isolate the root cause."
RecursionError,"The program exceeded the maximum recursion depth.","Ensure recursive functions include a proper stopping condition and that recursive calls eventually terminate. Infinite recursion is the most common cause of this error."
OverflowError,"A calculation exceeded the maximum numeric limit.","Reduce the size of calculations or validate input values before processing. Extremely large mathematical operations may require alternative approaches or libraries."
MemoryError,"The program ran out of available memory.","Reduce memory usage by processing data in smaller chunks and removing unnecessary objects from memory. Infinite loops or massive data structures are common causes."
AssertionError,"An assert statement evaluated to False.","Review the condition being asserted and inspect related variables to determine why the expected condition failed. Assertions are commonly used to verify assumptions during development."
StopIteration,"An iterator has no more items to provide.","This error commonly occurs when manually advancing iterators beyond their available data. Using standard for loops instead of manual next() calls can help avoid the problem."
KeyboardInterrupt,"The user manually interrupted the program.","This typically occurs when Ctrl+C is pressed during execution. Long-running programs should handle interruptions gracefully to save work or clean up resources before exiting."
NotImplementedError,"A method or feature has not yet been implemented.","Check whether the method is intended as a placeholder in a parent class or unfinished code section. Additional implementation logic is required before the feature can function properly."
Exception,"A generic base exception class for most runtime errors.","Use this as a fallback for unexpected errors when more specific exception handling is not available. Logging the exception message can help identify the underlying issue."
