language,owner,name,kind,signature,returns,description
python,builtin,abs,function,(x),number,"Returns the absolute value of a number or compatible object."
python,builtin,aiter,function,(async_iterable),AsyncIterator,"Returns an asynchronous iterator for an asynchronous iterable."
python,builtin,all,function,(iterable),bool,"Returns True when every item is truthy or the iterable is empty."
python,builtin,anext,function,"(async_iterator, default=…)",Awaitable,"Returns an awaitable for the next asynchronous item or an optional default."
python,builtin,any,function,(iterable),bool,"Returns True when at least one item in the iterable is truthy."
python,builtin,ascii,function,(object),str,"Returns a printable representation with non-ASCII characters escaped."
python,builtin,bin,function,(number),str,"Converts an integer-like value to a binary string prefixed with 0b."
python,builtin,bool,function,(x=False),bool,"Converts a value to True or False using Python truth testing."
python,builtin,breakpoint,function,"(*args, **kwargs)",Any,"Enters the configured debugger and forwards any supplied arguments."
python,builtin,bytearray,function,"(source=b'', encoding=None, errors='strict')",bytearray,"Creates a mutable sequence of bytes from a size, iterable, text, or bytes-like source."
python,builtin,bytes,function,"(source=b'', encoding=None, errors='strict')",bytes,"Creates an immutable bytes value from a size, iterable, text, or bytes-like source."
python,builtin,callable,function,(object),bool,"Checks whether an object appears callable."
python,builtin,chr,function,(code_point),str,"Returns the one-character string for a Unicode code point."
python,builtin,classmethod,function,(function),classmethod,"Wraps a function so a class is supplied as its first argument."
python,builtin,compile,function,"(source, filename, mode, flags=0, dont_inherit=False, optimize=-1)",code,"Compiles source text or an AST into a code object for execution or evaluation."
python,builtin,complex,function,"(real=0, imag=0)",complex,"Creates a complex number from numeric values or a numeric string."
python,builtin,delattr,function,"(object, name)",None,"Deletes a named attribute from an object."
python,builtin,dict,function,"(mapping_or_iterable=(), **kwargs)",dict,"Creates a dictionary from a mapping, key-value iterable, and/or named entries."
python,builtin,dir,function,(object=None),"list[str]","Lists names available in the current scope or attributes available on an object."
python,builtin,divmod,function,"(a, b)",tuple,"Returns the quotient and remainder from dividing a by b."
python,builtin,enumerate,function,"(iterable, start=0)",enumerate,"Pairs each item from an iterable with a consecutive index."
python,builtin,eval,function,"(expression, globals=None, locals=None)",Any,"Evaluates a Python expression using optional global and local namespaces."
python,builtin,exec,function,"(object, globals=None, locals=None, *, closure=None)",None,"Executes Python code using optional global, local, and closure namespaces."
python,builtin,filter,function,"(function, iterable)",filter,"Lazily yields items for which the function returns truthy."
python,builtin,float,function,(x=0.0),float,"Converts a number or numeric string to a floating-point value."
python,builtin,format,function,"(value, format_spec='')",str,"Formats a value using its format protocol and a format specification."
python,builtin,frozenset,function,(iterable=()),frozenset,"Creates an immutable set from unique items in an iterable."
python,builtin,getattr,function,"(object, name, default=…)",Any,"Returns a named attribute or an optional default when the attribute is missing."
python,builtin,globals,function,(),dict,"Returns the dictionary for the current module's global namespace."
python,builtin,hasattr,function,"(object, name)",bool,"Checks whether retrieving a named attribute succeeds."
python,builtin,hash,function,(object),int,"Returns an object's integer hash value."
python,builtin,help,function,(request=None),None,"Displays interactive help for an object, topic, or name."
python,builtin,hex,function,(number),str,"Converts an integer-like value to a hexadecimal string prefixed with 0x."
python,builtin,id,function,(object),int,"Returns an integer identity that is unique for the object during its lifetime."
python,builtin,input,function,(prompt=''),str,"Displays an optional prompt and reads one line of user input without its trailing newline."
python,builtin,int,function,"(x=0, base=10)",int,"Converts a number or numeric string to an integer, optionally using a specified base."
python,builtin,isinstance,function,"(object, class_or_tuple)",bool,"Checks whether an object is an instance of a class or any class in a tuple."
python,builtin,issubclass,function,"(class, class_or_tuple)",bool,"Checks whether a class inherits from another class or any class in a tuple."
python,builtin,iter,function,"(object, sentinel=…)",Iterator,"Returns an iterator, optionally one that calls a function until a sentinel appears."
python,builtin,len,function,(object),int,"Returns the number of items in a sized object."
